id,id_cargadescarga,id_equipo,id_palas,id_palanext,tiem_llegada,tiem_esperando,tiem_cuadra,tiem_cuadra,tiem_cuadrado,tiem_carga,tiem_acarreo,tiem_cola,tiem_retro,tiem_listo,tiem_descarga,tiem_viajando
1404428,1404428,34,1558677,117,2023-01-02 10:47:37.048000+00:00,2023-01-02 10:50:57.335000+00:00,2023-01-02 10:51:52.208000+00:00,2023-01-02 10:51:52.208000+00:00,2023-01-02 10:51:52.208000+00:00,2023-01-02 10:51:52.208000+00:00,2023-01-02 11:01:48.313000+00:00,2023-01-02 11:07:12.365000+00:00,2023-01-02 11:07:28.368000+00:00,2023-01-02 11:07:42.372000+00:00,2023-01-02 11:08:42.380000+00:00,2023-01-02 11:10:02.391000+00:00
1404459,1404459,34,1558714,70,2023-01-02 11:13:44.422000+00:00,2023-01-02 11:21:11.580000+00:00,2023-01-02 11:22:02.517000+00:00,2023-01-02 11:22:02.517000+00:00,2023-01-02 11:22:02.517000+00:00,2023-01-02 11:22:02.517000+00:00,2023-01-02 11:31:22.643000+00:00,2023-01-02 11:36:48.691000+00:00,2023-01-02 11:36:56.691000+00:00,2023-01-02 11:37:18.702000+00:00,2023-01-02 11:37:36.695000+00:00,2023-01-02 11:41:16.732000+00:00
1404485,1404485,34,1558714,70,2023-01-02 11:44:56.777000+00:00,,,,,,,,,,,
1404494,1404494,34,1558742,70,2023-01-02 12:21:53.214000+00:00,2023-01-02 12:21:53.214000+00:00,2023-01-02 12:21:55.215000+00:00,2023-01-02 12:21:55.215000+00:00,2023-01-02 12:22:09.218000+00:00,2023-01-02 12:22:39.225000+00:00,2023-01-02 12:25:57.263000+00:00,2023-01-02 12:30:59.293000+00:00,2023-01-02 12:31:03.294000+00:00,2023-01-02 12:31:29.295000+00:00,2023-01-02 12:31:55.298000+00:00,2023-01-02 12:32:29.299000+00:00
1404512,1404512,34,1558759,70,2023-01-02 12:35:49.346000+00:00,2023-01-02 12:35:51.346000+00:00,2023-01-02 12:35:51.346000+00:00,2023-01-02 12:35:51.346000+00:00,2023-01-02 12:36:01.346000+00:00,2023-01-02 12:37:37.370000+00:00,2023-01-02 12:41:17.417000+00:00,2023-01-02 12:46:41.455000+00:00,2023-01-02 12:46:49.454000+00:00,2023-01-02 12:47:09.457000+00:00,2023-01-02 12:47:27.459000+00:00,2023-01-02 12:48:57.475000+00:00
1404527,1404527,34,1558775,70,2023-01-02 12:51:57.523000+00:00,2023-01-02 12:51:57.523000+00:00,2023-01-02 12:51:59.523000+00:00,2023-01-02 12:51:59.523000+00:00,2023-01-02 12:52:07.524000+00:00,2023-01-02 12:52:47.527000+00:00,2023-01-02 12:55:41.563000+00:00,2023-01-02 13:00:55.620000+00:00,2023-01-02 13:00:59.620000+00:00,2023-01-02 13:01:25.626000+00:00,2023-01-02 13:01:43.633000+00:00,2023-01-02 13:02:23.643000+00:00
1404542,1404542,34,1558793,70,2023-01-02 13:08:35.731000+00:00,2023-01-02 13:08:37.731000+00:00,2023-01-02 13:08:37.731000+00:00,2023-01-02 13:08:37.731000+00:00,2023-01-02 13:08:47.731000+00:00,2023-01-02 13:10:23.749000+00:00,2023-01-02 13:13:43.783000+00:00,2023-01-02 13:18:53.848000+00:00,2023-01-02 13:19:01.851000+00:00,2023-01-02 13:19:27.856000+00:00,2023-01-02 13:19:45.857000+00:00,2023-01-02 13:20:31.864000+00:00
1404554,1404554,34,1558809,69,2023-01-02 13:23:45.906000+00:00,2023-01-02 13:23:49.906000+00:00,2023-01-02 13:23:49.906000+00:00,2023-01-02 13:23:49.906000+00:00,2023-01-02 13:24:07.907000+00:00,2023-01-02 13:26:07.916000+00:00,2023-01-02 13:29:01.936000+00:00,2023-01-02 13:34:23.984000+00:00,2023-01-02 13:34:25.984000+00:00,2023-01-02 13:34:49.988000+00:00,2023-01-02 13:35:07.993000+00:00,2023-01-02 13:36:04+00:00
1404602,1404602,34,1558861,69,2023-01-02 14:23:40.594000+00:00,2023-01-02 14:24:08.598000+00:00,2023-01-02 14:24:08.598000+00:00,2023-01-02 14:24:08.598000+00:00,2023-01-02 14:24:52.601000+00:00,2023-01-02 14:26:26.623000+00:00,2023-01-02 14:29:30.648000+00:00,2023-01-02 14:36:32.701000+00:00,2023-01-02 14:36:34.702000+00:00,2023-01-02 14:36:58.704000+00:00,2023-01-02 14:37:24.707000+00:00,2023-01-02 14:37:56.709000+00:00
1404621,1404621,34,1558881,69,2023-01-02 14:42:17.093740+00:00,2023-01-02 14:45:12.780000+00:00,2023-01-02 14:45:12.780000+00:00,2023-01-02 14:45:12.780000+00:00,2023-01-02 14:45:22.781000+00:00,2023-01-02 14:47:54.811000+00:00,2023-01-02 14:50:43.586000+00:00,2023-01-02 14:59:27.663000+00:00,2023-01-02 14:59:31.663000+00:00,2023-01-02 14:59:55.668000+00:00,2023-01-02 15:00:09.669000+00:00,2023-01-02 15:01:27.683000+00:00
